p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Cell_type,GENE
0.1614093772474,-0.183456890706335,0.207,0.223,1,Neurons,Yme1l1
0.163030150881433,-0.138307518629953,0.114,0.13,1,Neurons,Ugp2
0.163359789808857,-0.143138049686372,0.105,0.121,1,Neurons,Lsm1
0.163408083531409,-0.101501914660303,0.352,0.371,1,Neurons,Atp6v1b2
0.163474870818066,-0.12719893212566,0.091,0.107,1,Neurons,Rnd3
0.164593026802303,0.103913541649926,0.101,0.086,1,Neurons,Mysm1
0.165576656300641,-0.122548145580407,0.144,0.162,1,Neurons,Elavl2
0.166155310803971,0.112167412073475,0.108,0.092,1,Neurons,Rab2b
0.167914877953406,0.134561377099293,0.2,0.183,1,Neurons,Cuedc2
0.168473272577652,-0.103334720949682,0.086,0.101,1,Neurons,Hdac3
0.169187700164987,-0.144435742082055,0.158,0.175,1,Neurons,Dynlt1c
0.169554799015844,-0.201401453878296,0.335,0.339,1,Neurons,Mesdc2
0.170815459785223,-0.160800130000835,0.383,0.395,1,Neurons,Rab3c
0.171194708786592,-0.101571886114802,0.119,0.135,1,Neurons,Ccdc12
0.172979004156927,-0.209406294700206,0.117,0.132,1,Neurons,Wapal
0.173723597749889,0.169480635723016,0.137,0.122,1,Neurons,Cacnb2
0.17403410831313,-0.145360128542683,0.452,0.466,1,Neurons,Pdia3
0.174263590532736,-0.168855941655292,0.095,0.109,1,Neurons,Zdhhc17
0.175172538592386,-0.161059032901401,0.238,0.255,1,Neurons,Abcb7
0.175187704222569,-0.139063359100212,0.266,0.283,1,Neurons,Arhgef9
0.176653889344077,-0.110400263998634,0.215,0.232,1,Neurons,Rb1cc1
0.176773491967092,0.102763070570975,0.43,0.406,1,Neurons,Hprt
0.178051007679655,-0.101987668498428,0.175,0.193,1,Neurons,Brd3
0.178981218569217,0.265245733877173,0.193,0.175,1,Neurons,Csmd1
0.180457552566399,-0.189792817548546,0.113,0.127,1,Neurons,Usp5
0.180599029432711,-0.141195126100042,0.107,0.122,1,Neurons,Slc48a1
0.182510976144602,0.106119131421123,0.167,0.149,1,Neurons,Slc25a12
0.183720377285244,-0.226857039521957,0.256,0.268,1,Neurons,Map9
0.184625248514991,0.129997230554072,0.184,0.167,1,Neurons,Rph3a
0.185183664682261,-0.147019538140161,0.197,0.214,1,Neurons,Atp6v1h
0.1856092619449,-0.142072751123016,0.156,0.173,1,Neurons,Cs
0.186450456206858,-0.11170555552419,0.529,0.53,1,Neurons,Atp5l
0.188124355195165,-0.114458926619441,0.121,0.136,1,Neurons,Pfkm
0.190006690789434,-0.109565100959014,0.193,0.211,1,Neurons,Cd63
0.191247362782104,-0.129310965114911,0.163,0.18,1,Neurons,Mapk8ip3
0.193967598153073,0.200574662993512,0.125,0.11,1,Neurons,Galntl6
0.195802448456991,-0.131096160658703,0.205,0.223,1,Neurons,Rab3b
0.197983989565893,-0.104102963169744,0.131,0.146,1,Neurons,Prkaca
0.198306198626053,0.107278062270535,0.128,0.111,1,Neurons,Gspt1
0.198798402722131,-0.107017375943245,0.193,0.21,1,Neurons,Slc3a1
0.199264100185211,0.108060559669239,0.1,0.087,1,Neurons,Snrnp48
0.199383673587636,-0.1889489323641,0.221,0.236,1,Neurons,Gmps
0.199734055510249,-0.165622724087395,0.204,0.222,1,Neurons,Rexo2
0.200807653914822,0.140265013069127,0.277,0.258,1,Neurons,Gabrb3
0.201423733037625,-0.111168785288327,0.416,0.433,1,Neurons,Tpm3
0.205597070882533,0.110631434105055,0.188,0.171,1,Neurons,C1qtnf4
0.20638658778958,0.108172366223386,0.258,0.239,1,Neurons,Dlgap1
0.211237365432064,-0.137491760939608,0.124,0.137,1,Neurons,Hnrnpab
0.212704802553138,-0.106820857757601,0.093,0.107,1,Neurons,Srsf6
0.21282092855707,-0.185799934656716,0.096,0.108,1,Neurons,Gm11007
0.214224625830034,0.100018684136206,0.15,0.135,1,Neurons,Degs1
0.214339593147433,-0.10989231282646,0.257,0.274,1,Neurons,Eif4g1
